Place,Category,SubCategory,Year,Amount
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2022,30
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2020,26
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2019,28
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2018,33
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2017,13
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2016,22
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2015,20
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2014,34
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2013,20
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2012,18
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2011,20
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2010,17
Teruel,COLLECTIVE SAFETY,Drug Trafficking,2021,35
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2022,271
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2020,285
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2019,232
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2018,191
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2017,179
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2016,124
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2015,130
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2014,135
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2013,166
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2012,141
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2011,139
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2010,104
Toledo,COLLECTIVE SAFETY,Drug Trafficking,2021,294
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2022,950
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2020,907
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2019,1031
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2018,949
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2017,821
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2016,838
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2015,786
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2014,847
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2013,938
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2012,744
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2011,723
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2010,662
Valencia,COLLECTIVE SAFETY,Drug Trafficking,2021,904
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2022,60
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2020,67
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2019,55
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2018,52
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2017,29
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2016,70
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2015,47
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2014,53
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2013,74
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2012,59
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2011,82
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2010,71
Valladolid,COLLECTIVE SAFETY,Drug Trafficking,2021,80
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2022,46
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2020,40
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2019,43
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2018,62
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2017,33
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2016,29
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2015,28
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2014,41
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2013,27
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2012,28
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2011,23
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2010,11
Zamora,COLLECTIVE SAFETY,Drug Trafficking,2021,54
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2022,325
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2020,245
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2019,265
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2018,255
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2017,214
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2016,184
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2015,221
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2014,222
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2013,271
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2012,191
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2011,236
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2010,226
Zaragoza,COLLECTIVE SAFETY,Drug Trafficking,2021,327
Albacete,COLLECTIVE SAFETY,Others (Collective),2022,40
Albacete,COLLECTIVE SAFETY,Others (Collective),2020,27
Albacete,COLLECTIVE SAFETY,Others (Collective),2019,36
Albacete,COLLECTIVE SAFETY,Others (Collective),2018,32
Albacete,COLLECTIVE SAFETY,Others (Collective),2017,42
Albacete,COLLECTIVE SAFETY,Others (Collective),2016,30
Albacete,COLLECTIVE SAFETY,Others (Collective),2015,28
Albacete,COLLECTIVE SAFETY,Others (Collective),2014,36
Albacete,COLLECTIVE SAFETY,Others (Collective),2013,36
Albacete,COLLECTIVE SAFETY,Others (Collective),2012,11
Albacete,COLLECTIVE SAFETY,Others (Collective),2011,17
Albacete,COLLECTIVE SAFETY,Others (Collective),2010,33
Alicante,COLLECTIVE SAFETY,Others (Collective),2022,67
Alicante,COLLECTIVE SAFETY,Others (Collective),2020,49
Alicante,COLLECTIVE SAFETY,Others (Collective),2019,48
Alicante,COLLECTIVE SAFETY,Others (Collective),2018,86
Alicante,COLLECTIVE SAFETY,Others (Collective),2017,88
Alicante,COLLECTIVE SAFETY,Others (Collective),2016,68
Alicante,COLLECTIVE SAFETY,Others (Collective),2015,73
Alicante,COLLECTIVE SAFETY,Others (Collective),2014,87
Alicante,COLLECTIVE SAFETY,Others (Collective),2013,95
Alicante,COLLECTIVE SAFETY,Others (Collective),2012,147
Alicante,COLLECTIVE SAFETY,Others (Collective),2011,236
Alicante,COLLECTIVE SAFETY,Others (Collective),2010,211
Alicante,COLLECTIVE SAFETY,Others (Collective),2021,65
Almería,COLLECTIVE SAFETY,Others (Collective),2022,41
Almería,COLLECTIVE SAFETY,Others (Collective),2020,33
Almería,COLLECTIVE SAFETY,Others (Collective),2019,21
Almería,COLLECTIVE SAFETY,Others (Collective),2018,26
Almería,COLLECTIVE SAFETY,Others (Collective),2017,13
Almería,COLLECTIVE SAFETY,Others (Collective),2016,20
Almería,COLLECTIVE SAFETY,Others (Collective),2015,20
Almería,COLLECTIVE SAFETY,Others (Collective),2014,16
Almería,COLLECTIVE SAFETY,Others (Collective),2013,26
Almería,COLLECTIVE SAFETY,Others (Collective),2012,39
Almería,COLLECTIVE SAFETY,Others (Collective),2011,37
Almería,COLLECTIVE SAFETY,Others (Collective),2010,39
Almería,COLLECTIVE SAFETY,Others (Collective),2021,31
Araba,COLLECTIVE SAFETY,Others (Collective),2022,24
Araba,COLLECTIVE SAFETY,Others (Collective),2020,11
Araba,COLLECTIVE SAFETY,Others (Collective),2019,22
Araba,COLLECTIVE SAFETY,Others (Collective),2018,11
Araba,COLLECTIVE SAFETY,Others (Collective),2017,7
Araba,COLLECTIVE SAFETY,Others (Collective),2016,7
Araba,COLLECTIVE SAFETY,Others (Collective),2015,5
Araba,COLLECTIVE SAFETY,Others (Collective),2014,8
Araba,COLLECTIVE SAFETY,Others (Collective),2013,4
Araba,COLLECTIVE SAFETY,Others (Collective),2012,32
Araba,COLLECTIVE SAFETY,Others (Collective),2011,7
Araba,COLLECTIVE SAFETY,Others (Collective),2010,5
Araba,COLLECTIVE SAFETY,Others (Collective),2021,11
Asturias,COLLECTIVE SAFETY,Others (Collective),2022,51
Asturias,COLLECTIVE SAFETY,Others (Collective),2020,56
Asturias,COLLECTIVE SAFETY,Others (Collective),2019,51
Asturias,COLLECTIVE SAFETY,Others (Collective),2018,46
Asturias,COLLECTIVE SAFETY,Others (Collective),2017,62
Asturias,COLLECTIVE SAFETY,Others (Collective),2016,59
Asturias,COLLECTIVE SAFETY,Others (Collective),2015,33
Asturias,COLLECTIVE SAFETY,Others (Collective),2014,48
Asturias,COLLECTIVE SAFETY,Others (Collective),2013,50
Asturias,COLLECTIVE SAFETY,Others (Collective),2012,44
Asturias,COLLECTIVE SAFETY,Others (Collective),2011,43
Asturias,COLLECTIVE SAFETY,Others (Collective),2010,46
Asturias,COLLECTIVE SAFETY,Others (Collective),2021,77
Ávila,COLLECTIVE SAFETY,Others (Collective),2022,14
Ávila,COLLECTIVE SAFETY,Others (Collective),2020,22
Ávila,COLLECTIVE SAFETY,Others (Collective),2019,30
Ávila,COLLECTIVE SAFETY,Others (Collective),2018,28
Ávila,COLLECTIVE SAFETY,Others (Collective),2017,73
Ávila,COLLECTIVE SAFETY,Others (Collective),2016,30
Ávila,COLLECTIVE SAFETY,Others (Collective),2015,20
Ávila,COLLECTIVE SAFETY,Others (Collective),2014,14
Ávila,COLLECTIVE SAFETY,Others (Collective),2013,6
Ávila,COLLECTIVE SAFETY,Others (Collective),2012,28
Ávila,COLLECTIVE SAFETY,Others (Collective),2011,21
Ávila,COLLECTIVE SAFETY,Others (Collective),2010,4
Ávila,COLLECTIVE SAFETY,Others (Collective),2021,21
Badajoz,COLLECTIVE SAFETY,Others (Collective),2022,37
Badajoz,COLLECTIVE SAFETY,Others (Collective),2020,29
Badajoz,COLLECTIVE SAFETY,Others (Collective),2019,38
Badajoz,COLLECTIVE SAFETY,Others (Collective),2018,42
Badajoz,COLLECTIVE SAFETY,Others (Collective),2017,52
Badajoz,COLLECTIVE SAFETY,Others (Collective),2016,24
Badajoz,COLLECTIVE SAFETY,Others (Collective),2015,20
Badajoz,COLLECTIVE SAFETY,Others (Collective),2014,24
Badajoz,COLLECTIVE SAFETY,Others (Collective),2013,8
Badajoz,COLLECTIVE SAFETY,Others (Collective),2012,19
Badajoz,COLLECTIVE SAFETY,Others (Collective),2011,17
Badajoz,COLLECTIVE SAFETY,Others (Collective),2010,11
Badajoz,COLLECTIVE SAFETY,Others (Collective),2021,28
Balears,COLLECTIVE SAFETY,Others (Collective),2022,139
Balears,COLLECTIVE SAFETY,Others (Collective),2020,64
Balears,COLLECTIVE SAFETY,Others (Collective),2019,173
Balears,COLLECTIVE SAFETY,Others (Collective),2018,165
Balears,COLLECTIVE SAFETY,Others (Collective),2017,78
Balears,COLLECTIVE SAFETY,Others (Collective),2016,68
Balears,COLLECTIVE SAFETY,Others (Collective),2015,81
Balears,COLLECTIVE SAFETY,Others (Collective),2014,96
Balears,COLLECTIVE SAFETY,Others (Collective),2013,78
Balears,COLLECTIVE SAFETY,Others (Collective),2012,92
Balears,COLLECTIVE SAFETY,Others (Collective),2011,100
Balears,COLLECTIVE SAFETY,Others (Collective),2010,120
Balears,COLLECTIVE SAFETY,Others (Collective),2021,67
Barcelona,COLLECTIVE SAFETY,Others (Collective),2022,143
Barcelona,COLLECTIVE SAFETY,Others (Collective),2020,103
Barcelona,COLLECTIVE SAFETY,Others (Collective),2019,119
Barcelona,COLLECTIVE SAFETY,Others (Collective),2018,84
Barcelona,COLLECTIVE SAFETY,Others (Collective),2017,83
Barcelona,COLLECTIVE SAFETY,Others (Collective),2016,74
Barcelona,COLLECTIVE SAFETY,Others (Collective),2015,73
Barcelona,COLLECTIVE SAFETY,Others (Collective),2014,88
Barcelona,COLLECTIVE SAFETY,Others (Collective),2013,77
Barcelona,COLLECTIVE SAFETY,Others (Collective),2012,97
Barcelona,COLLECTIVE SAFETY,Others (Collective),2011,118
Barcelona,COLLECTIVE SAFETY,Others (Collective),2010,115
Barcelona,COLLECTIVE SAFETY,Others (Collective),2021,111
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2022,53
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2020,86
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2019,138
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2018,128
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2017,155
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2016,98
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2015,37
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2014,45
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2013,23
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2012,30
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2011,31
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2010,26
Bizkaia,COLLECTIVE SAFETY,Others (Collective),2021,120
Burgos,COLLECTIVE SAFETY,Others (Collective),2022,9
Burgos,COLLECTIVE SAFETY,Others (Collective),2020,7
Burgos,COLLECTIVE SAFETY,Others (Collective),2019,4
Burgos,COLLECTIVE SAFETY,Others (Collective),2018,7
Burgos,COLLECTIVE SAFETY,Others (Collective),2017,18
Burgos,COLLECTIVE SAFETY,Others (Collective),2016,16
Burgos,COLLECTIVE SAFETY,Others (Collective),2015,15
Burgos,COLLECTIVE SAFETY,Others (Collective),2014,9
Burgos,COLLECTIVE SAFETY,Others (Collective),2013,4
Burgos,COLLECTIVE SAFETY,Others (Collective),2012,16
Burgos,COLLECTIVE SAFETY,Others (Collective),2011,22
Burgos,COLLECTIVE SAFETY,Others (Collective),2010,15
Burgos,COLLECTIVE SAFETY,Others (Collective),2021,12
Cáceres,COLLECTIVE SAFETY,Others (Collective),2022,70
Cáceres,COLLECTIVE SAFETY,Others (Collective),2020,16
Cáceres,COLLECTIVE SAFETY,Others (Collective),2019,44
Cáceres,COLLECTIVE SAFETY,Others (Collective),2018,29
Cáceres,COLLECTIVE SAFETY,Others (Collective),2017,36
Cáceres,COLLECTIVE SAFETY,Others (Collective),2016,22
Cáceres,COLLECTIVE SAFETY,Others (Collective),2015,34
Cáceres,COLLECTIVE SAFETY,Others (Collective),2014,29
Cáceres,COLLECTIVE SAFETY,Others (Collective),2013,30
Cáceres,COLLECTIVE SAFETY,Others (Collective),2012,17
Cáceres,COLLECTIVE SAFETY,Others (Collective),2011,11
Cáceres,COLLECTIVE SAFETY,Others (Collective),2010,28
Cáceres,COLLECTIVE SAFETY,Others (Collective),2021,27
Cádiz,COLLECTIVE SAFETY,Others (Collective),2022,297
Cádiz,COLLECTIVE SAFETY,Others (Collective),2020,104
Cádiz,COLLECTIVE SAFETY,Others (Collective),2019,86
Cádiz,COLLECTIVE SAFETY,Others (Collective),2018,132
Cádiz,COLLECTIVE SAFETY,Others (Collective),2017,95
Cádiz,COLLECTIVE SAFETY,Others (Collective),2016,96
Cádiz,COLLECTIVE SAFETY,Others (Collective),2015,89
Cádiz,COLLECTIVE SAFETY,Others (Collective),2014,64
Cádiz,COLLECTIVE SAFETY,Others (Collective),2013,57
Cádiz,COLLECTIVE SAFETY,Others (Collective),2012,92
Cádiz,COLLECTIVE SAFETY,Others (Collective),2011,61
Cádiz,COLLECTIVE SAFETY,Others (Collective),2010,96
Cádiz,COLLECTIVE SAFETY,Others (Collective),2021,144
Cantabria,COLLECTIVE SAFETY,Others (Collective),2022,40
Cantabria,COLLECTIVE SAFETY,Others (Collective),2020,17
Cantabria,COLLECTIVE SAFETY,Others (Collective),2019,8
Cantabria,COLLECTIVE SAFETY,Others (Collective),2018,17
Cantabria,COLLECTIVE SAFETY,Others (Collective),2017,30
Cantabria,COLLECTIVE SAFETY,Others (Collective),2016,23
Cantabria,COLLECTIVE SAFETY,Others (Collective),2015,25
Cantabria,COLLECTIVE SAFETY,Others (Collective),2014,30
Cantabria,COLLECTIVE SAFETY,Others (Collective),2013,12
Cantabria,COLLECTIVE SAFETY,Others (Collective),2012,15
Cantabria,COLLECTIVE SAFETY,Others (Collective),2011,16
Cantabria,COLLECTIVE SAFETY,Others (Collective),2010,38
Cantabria,COLLECTIVE SAFETY,Others (Collective),2021,21
Castellón,COLLECTIVE SAFETY,Others (Collective),2022,38
Castellón,COLLECTIVE SAFETY,Others (Collective),2020,27
Castellón,COLLECTIVE SAFETY,Others (Collective),2019,40
Castellón,COLLECTIVE SAFETY,Others (Collective),2018,39
Castellón,COLLECTIVE SAFETY,Others (Collective),2017,51
Castellón,COLLECTIVE SAFETY,Others (Collective),2016,45
Castellón,COLLECTIVE SAFETY,Others (Collective),2015,57
Castellón,COLLECTIVE SAFETY,Others (Collective),2014,67
Castellón,COLLECTIVE SAFETY,Others (Collective),2013,59
Castellón,COLLECTIVE SAFETY,Others (Collective),2012,56
Castellón,COLLECTIVE SAFETY,Others (Collective),2011,47
Castellón,COLLECTIVE SAFETY,Others (Collective),2010,28
Castellón,COLLECTIVE SAFETY,Others (Collective),2021,21
Ceuta,COLLECTIVE SAFETY,Others (Collective),2022,9
Ceuta,COLLECTIVE SAFETY,Others (Collective),2020,3
Ceuta,COLLECTIVE SAFETY,Others (Collective),2019,5
Ceuta,COLLECTIVE SAFETY,Others (Collective),2018,4
Ceuta,COLLECTIVE SAFETY,Others (Collective),2017,2
Ceuta,COLLECTIVE SAFETY,Others (Collective),2016,5
Ceuta,COLLECTIVE SAFETY,Others (Collective),2015,4
Ceuta,COLLECTIVE SAFETY,Others (Collective),2014,6
Ceuta,COLLECTIVE SAFETY,Others (Collective),2013,8
Ceuta,COLLECTIVE SAFETY,Others (Collective),2012,11
Ceuta,COLLECTIVE SAFETY,Others (Collective),2011,2
Ceuta,COLLECTIVE SAFETY,Others (Collective),2010,2
Ceuta,COLLECTIVE SAFETY,Others (Collective),2021,8
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2022,31
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2020,25
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2019,22
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2018,7
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2017,18
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2016,11
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2015,26
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2014,18
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2013,22
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2012,33
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2011,20
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2010,21
Ciudad Real,COLLECTIVE SAFETY,Others (Collective),2021,32
Córdoba,COLLECTIVE SAFETY,Others (Collective),2022,36
Córdoba,COLLECTIVE SAFETY,Others (Collective),2020,44
Córdoba,COLLECTIVE SAFETY,Others (Collective),2019,43
Córdoba,COLLECTIVE SAFETY,Others (Collective),2018,26
Córdoba,COLLECTIVE SAFETY,Others (Collective),2017,25
Córdoba,COLLECTIVE SAFETY,Others (Collective),2016,22
Córdoba,COLLECTIVE SAFETY,Others (Collective),2015,26
Córdoba,COLLECTIVE SAFETY,Others (Collective),2014,31
Córdoba,COLLECTIVE SAFETY,Others (Collective),2013,24
Córdoba,COLLECTIVE SAFETY,Others (Collective),2012,22
Córdoba,COLLECTIVE SAFETY,Others (Collective),2011,25
Córdoba,COLLECTIVE SAFETY,Others (Collective),2010,54
Córdoba,COLLECTIVE SAFETY,Others (Collective),2021,38
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2022,72
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2020,78
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2019,51
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2018,52
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2017,52
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2016,34
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2015,48
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2014,28
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2013,70
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2012,41
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2011,57
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2010,52
Coruña (A),COLLECTIVE SAFETY,Others (Collective),2021,66
Cuenca,COLLECTIVE SAFETY,Others (Collective),2022,10
Cuenca,COLLECTIVE SAFETY,Others (Collective),2020,5
Cuenca,COLLECTIVE SAFETY,Others (Collective),2019,12
Cuenca,COLLECTIVE SAFETY,Others (Collective),2018,3
Cuenca,COLLECTIVE SAFETY,Others (Collective),2017,5
Cuenca,COLLECTIVE SAFETY,Others (Collective),2016,6
Cuenca,COLLECTIVE SAFETY,Others (Collective),2015,10
Cuenca,COLLECTIVE SAFETY,Others (Collective),2014,6
Cuenca,COLLECTIVE SAFETY,Others (Collective),2013,10
Cuenca,COLLECTIVE SAFETY,Others (Collective),2012,10
Cuenca,COLLECTIVE SAFETY,Others (Collective),2011,7
Cuenca,COLLECTIVE SAFETY,Others (Collective),2010,9
Cuenca,COLLECTIVE SAFETY,Others (Collective),2021,9
Desconocida,COLLECTIVE SAFETY,Others (Collective),2022,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2020,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2019,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2018,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2017,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2016,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2015,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2014,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2013,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2012,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2011,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2010,0
Desconocida,COLLECTIVE SAFETY,Others (Collective),2021,0
Abroad,COLLECTIVE SAFETY,Others (Collective),2022,0
Abroad,COLLECTIVE SAFETY,Others (Collective),2020,2
Abroad,COLLECTIVE SAFETY,Others (Collective),2019,2
Abroad,COLLECTIVE SAFETY,Others (Collective),2018,0
Abroad,COLLECTIVE SAFETY,Others (Collective),2017,2
Abroad,COLLECTIVE SAFETY,Others (Collective),2016,0
Abroad,COLLECTIVE SAFETY,Others (Collective),2015,0
Abroad,COLLECTIVE SAFETY,Others (Collective),2014,1
Abroad,COLLECTIVE SAFETY,Others (Collective),2013,1
Abroad,COLLECTIVE SAFETY,Others (Collective),2012,0
Abroad,COLLECTIVE SAFETY,Others (Collective),2011,0
Abroad,COLLECTIVE SAFETY,Others (Collective),2010,0
Abroad,COLLECTIVE SAFETY,Others (Collective),2021,0
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2022,27
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2020,13
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2019,24
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2018,7
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2017,14
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2016,24
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2015,16
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2014,18
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2013,10
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2012,16
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2011,11
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2010,13
Gipuzkoa,COLLECTIVE SAFETY,Others (Collective),2021,30
Girona,COLLECTIVE SAFETY,Others (Collective),2022,32
Girona,COLLECTIVE SAFETY,Others (Collective),2020,28
Girona,COLLECTIVE SAFETY,Others (Collective),2019,46
Girona,COLLECTIVE SAFETY,Others (Collective),2018,28
Girona,COLLECTIVE SAFETY,Others (Collective),2017,22
Girona,COLLECTIVE SAFETY,Others (Collective),2016,33
Girona,COLLECTIVE SAFETY,Others (Collective),2015,22
Girona,COLLECTIVE SAFETY,Others (Collective),2014,28
Girona,COLLECTIVE SAFETY,Others (Collective),2013,22
Girona,COLLECTIVE SAFETY,Others (Collective),2012,21
Girona,COLLECTIVE SAFETY,Others (Collective),2011,34
Girona,COLLECTIVE SAFETY,Others (Collective),2010,45
Girona,COLLECTIVE SAFETY,Others (Collective),2021,34
Granada,COLLECTIVE SAFETY,Others (Collective),2022,59
Granada,COLLECTIVE SAFETY,Others (Collective),2020,58
Granada,COLLECTIVE SAFETY,Others (Collective),2019,34
Granada,COLLECTIVE SAFETY,Others (Collective),2018,37
Granada,COLLECTIVE SAFETY,Others (Collective),2017,46
Granada,COLLECTIVE SAFETY,Others (Collective),2016,42
Granada,COLLECTIVE SAFETY,Others (Collective),2015,20
Granada,COLLECTIVE SAFETY,Others (Collective),2014,39
Granada,COLLECTIVE SAFETY,Others (Collective),2013,37
Granada,COLLECTIVE SAFETY,Others (Collective),2012,61
Granada,COLLECTIVE SAFETY,Others (Collective),2011,42
Granada,COLLECTIVE SAFETY,Others (Collective),2010,30
Granada,COLLECTIVE SAFETY,Others (Collective),2021,44
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2022,34
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2020,7
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2019,5
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2018,4
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2017,7
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2016,10
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2015,5
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2014,7
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2013,7
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2012,6
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2011,6
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2010,0
Guadalajara,COLLECTIVE SAFETY,Others (Collective),2021,12
Huelva,COLLECTIVE SAFETY,Others (Collective),2022,45
Huelva,COLLECTIVE SAFETY,Others (Collective),2020,31
Huelva,COLLECTIVE SAFETY,Others (Collective),2019,53
Huelva,COLLECTIVE SAFETY,Others (Collective),2018,37
Huelva,COLLECTIVE SAFETY,Others (Collective),2017,39
Huelva,COLLECTIVE SAFETY,Others (Collective),2016,35
Huelva,COLLECTIVE SAFETY,Others (Collective),2015,34
Huelva,COLLECTIVE SAFETY,Others (Collective),2014,45
Huelva,COLLECTIVE SAFETY,Others (Collective),2013,55
Huelva,COLLECTIVE SAFETY,Others (Collective),2012,52
Huelva,COLLECTIVE SAFETY,Others (Collective),2011,48
Huelva,COLLECTIVE SAFETY,Others (Collective),2010,62
Huelva,COLLECTIVE SAFETY,Others (Collective),2021,45
Huesca,COLLECTIVE SAFETY,Others (Collective),2022,6
Huesca,COLLECTIVE SAFETY,Others (Collective),2020,5
Huesca,COLLECTIVE SAFETY,Others (Collective),2019,2
Huesca,COLLECTIVE SAFETY,Others (Collective),2018,2
Huesca,COLLECTIVE SAFETY,Others (Collective),2017,6
Huesca,COLLECTIVE SAFETY,Others (Collective),2016,6
Huesca,COLLECTIVE SAFETY,Others (Collective),2015,6
Huesca,COLLECTIVE SAFETY,Others (Collective),2014,7
Huesca,COLLECTIVE SAFETY,Others (Collective),2013,7
